Date,SPY.AX,STW.AX,VAS.AX
2014-10-13,216.72999572753906,48.599998474121094,65.36000061035156
2014-10-14,213.9499969482422,49.119998931884766,66.05999755859375
2014-10-15,217.08999633789062,49.5,66.4800033569336
2014-10-16,212.4347381591797,49.54999923706055,66.5999984741211
2014-10-17,213.05999755859375,49.779998779296875,66.83999633789062
2014-10-20,216.16000366210938,50.279998779296875,67.44999694824219
2014-10-21,220.30926513671875,50.369998931884766,67.36000061035156
2014-10-22,221.75,50.86000061035156,68.30000305175781
2014-10-23,222.53982543945312,50.720001220703125,68.0999984741211
2014-10-24,223.24110412597656,51.029998779296875,68.66000366210938
2014-10-27,222.90855407714844,51.369998931884766,69.30000305175781
2014-10-28,223.10000610351562,51.45000076293945,69.30000305175781
2014-10-29,223.69000244140625,51.40999984741211,69.05000305175781
2014-10-30,225.58999633789062,51.599998474121094,69.26000213623047
2014-10-31,226.36000061035156,52.15999984741211,69.86000061035156
2014-11-03,230.80999755859375,51.900001525878906,69.72000122070312
2014-11-04,231.5500030517578,52.060001373291016,69.91999816894531
2014-11-05,230.47000122070312,52.0,69.80999755859375
2014-11-06,236.10000610351562,51.93000030517578,69.72000122070312
2014-11-07,237.99000549316406,52.5099983215332,70.36000061035156
2014-11-10,235.16000366210938,52.380001068115234,70.23999786376953
2014-11-11,236.4499969482422,52.310001373291016,70.25
2014-11-12,235.19000244140625,51.900001525878906,69.55000305175781
2014-11-13,234.1999969482422,51.70000076293945,69.48999786376953
2014-11-14,235.1199951171875,51.79999923706055,69.44000244140625
2014-11-17,231.85000610351562,51.31999969482422,69.0
2014-11-18,234.72000122070312,51.220001220703125,68.7300033569336
2014-11-19,237.25999450683594,50.970001220703125,68.43000030517578
2014-11-20,238.6199951171875,50.38999938964844,67.83000183105469
2014-11-21,238.25,50.380001068115234,67.66999816894531
2014-11-24,240.60743713378906,50.84000015258789,68.31999969482422
2014-11-25,242.5053253173828,50.95000076293945,68.01000213623047
2014-11-26,242.8800048828125,51.189998626708984,68.75
2014-11-27,242.0,51.18000030517578,68.91000366210938
2014-11-28,242.7332763671875,50.459999084472656,67.87999725341797
2014-12-01,245.44000244140625,49.43000030517578,66.22000122070312
2014-12-02,241.8300018310547,50.099998474121094,67.31999969482422
2014-12-03,246.80520629882812,50.5,67.66999816894531
2014-12-04,248.0800018310547,50.93000030517578,68.26000213623047
2014-12-05,248.41000366210938,50.61000061035156,68.0
2014-12-08,251.05999755859375,50.97999954223633,68.51000213623047
2014-12-09,250.16000366210938,50.189998626708984,67.41999816894531
2014-12-10,248.0,49.939998626708984,67.16000366210938
2014-12-11,244.0500030517578,49.66999816894531,66.63999938964844
2014-12-12,245.89999389648438,49.5099983215332,66.5999984741211
2014-12-15,244.89999389648438,49.150001525878906,66.12999725341797
2014-12-16,243.1199951171875,48.88999938964844,65.6500015258789
2014-12-17,247.273193359375,49.0,65.95999908447266
2014-12-18,248.3000030517578,49.5,66.44000244140625
2014-12-19,253.42999267578125,50.61000061035156,67.81999969482422
2014-12-22,254.6699981689453,51.689998626708984,69.23999786376953
2014-12-23,255.69000244140625,51.20000076293945,68.70999908447266
2014-12-24,256.6300048828125,51.27000045776367,68.79000091552734
2014-12-29,258.19000244140625,50.900001525878906,69.91999816894531
2014-12-30,258.0,50.25,69.25
2014-12-31,253.83999633789062,50.029998779296875,68.98999786376953
2015-01-02,252.90415954589844,50.400001525878906,68.6500015258789
2015-01-05,254.75,50.650001525878906,68.6500015258789
2015-01-06,248.60000610351562,49.77000045776367,67.77999877929688
2015-01-07,248.42999267578125,49.630001068115234,67.69000244140625
2015-01-08,251.22999572753906,49.77000045776367,67.91000366210938
2015-01-09,252.9499969482422,50.689998626708984,69.29000091552734
2015-01-12,247.7100067138672,50.279998779296875,68.54000091552734
2015-01-13,247.91000366210938,49.9900016784668,68.20999908447266
2015-01-14,246.0,49.599998474121094,67.62999725341797
2015-01-15,245.11000061035156,49.38999938964844,67.37000274658203
2015-01-16,240.0500030517578,49.08000183105469,66.79000091552734
2015-01-19,245.7100067138672,49.189998626708984,67.13999938964844
2015-01-20,246.97999572753906,49.2400016784668,67.06999969482422
2015-01-21,247.1300048828125,49.97999954223633,68.05000305175781
2015-01-22,252.47000122070312,50.20000076293945,68.30999755859375
2015-01-23,257.1000061035156,51.0,69.5
2015-01-27,260.1199951171875,51.31999969482422,70.0
2015-01-28,255.99000549316406,51.439998626708984,70.12000274658203
2015-01-29,259.3108215332031,51.56999969482422,70.30999755859375
2015-01-30,259.3599853515625,51.81999969482422,70.66999816894531
2015-02-02,256.9200134277344,52.08000183105469,71.08999633789062
2015-02-03,263.489990234375,52.81999969482422,72.06999969482422
2015-02-04,261.8299865722656,53.52000045776367,72.83999633789062
2015-02-05,261.0,53.880001068115234,73.33999633789062
2015-02-06,263.2099914550781,53.88999938964844,73.5
2015-02-09,263.8800048828125,53.91999816894531,73.19000244140625
2015-02-10,262.3500061035156,53.779998779296875,73.13999938964844
2015-02-11,266.2300109863281,53.5099983215332,72.86000061035156
2015-02-12,270.90582275390625,53.349998474121094,72.5999984741211
2015-02-13,269.5199890136719,54.529998779296875,74.23999786376953
2015-02-16,269.54998779296875,54.58000183105469,74.4000015258789
2015-02-17,268.3599853515625,54.40999984741211,74.75
2015-02-18,268.5,54.90999984741211,74.93000030517578
2015-02-19,268.4100036621094,54.93000030517578,74.83000183105469
2015-02-20,269.7667541503906,54.630001068115234,74.19999694824219
2015-02-23,269.8299865722656,54.939998626708984,74.8499984741211
